,Date,SMA_25,SMA_50,OBV,ADL,ADX,MACD,RSI,Sto_Osc,GPT Sent
0,2019-03-14,-1.4123147186776632,-1.5486544352911105,-1.6416415435259262,2.247893510873288,0.6299214527417867,0.1103053718720412,1.2135759168448614,-0.4471269750552092,-0.4491248930622486
1,2019-03-15,-1.3988975542774538,-1.5347622050973422,-1.4357333438601505,2.2312888327537403,0.6859863765492834,-0.0354888465717115,1.5378641640546078,0.0640145512728311,-2.2250378120623173
2,2019-03-18,-1.3856799016155388,-1.5166024270662708,-1.290417949755134,2.212655329130554,0.7504111184363166,-0.1408830381358419,1.640214521937999,0.2251332119625511,-1.652162676901005
3,2019-03-19,-1.3720382865097502,-1.5014908974904164,-1.1322189086354288,2.191172370284637,0.8328159339070517,-0.194566142756069,1.6878947057937346,0.2506652940222181,0.1810377556151952
4,2019-03-20,-1.3610152629690582,-1.4873132993561586,-1.2664350726669011,2.1798091782358884,0.8486905479945378,-0.1702469097730622,1.4524080677356872,0.1304845724341236,0.06646272858293269
5,2019-03-21,-1.3458024929242118,-1.4715013211991057,-0.9993200007981606,2.171246269794342,0.9615779744610892,-0.3478349393053214,1.9999004208144284,0.7545386201705786,0.06646272858293269
6,2019-03-22,-1.3351036759582462,-1.4588802754675112,-1.2612767169978505,2.154581370276601,1.0664020133228866,-0.1996262163572636,0.505320820833621,-0.0159646487252105,0.06646272858293269
7,2019-03-25,-1.3264747932770706,-1.447011563397205,-1.4762186498497525,2.135377586970173,1.040148232907511,-0.031378545953112,0.2811297652293455,-0.1572995678717766,-0.6973707849654841
8,2019-03-26,-1.3169481077735767,-1.4344942878257887,-1.3394482819859492,2.1245745806389604,1.0623813356865943,0.0522733232358626,0.445980689334357,0.0159496878562687,0.06646272858293269
9,2019-03-27,-1.308618492699842,-1.421769471934018,-1.4944947225932803,2.1151747646687262,0.9900220581995072,0.1784108280824125,0.1473958564930573,-0.1664179497521984,0.12375024209906393
10,2019-03-28,-1.2996404644766535,-1.4098488747836222,-1.3912717849720584,2.103664284498568,0.9228313005329266,0.2357510130567199,0.2853312066138794,-0.5679166432442625,0.06646272858293269
11,2019-03-29,-1.2910614597300514,-1.397098116351806,-1.2507592342695533,2.0810821699614803,0.8996174283771418,0.1951910436817407,0.5930383983211559,-0.9297024996593298,0.4101878096797202
12,2019-04-01,-1.280861422109818,-1.3836079955287244,-1.1274513226477811,2.0689160776088573,0.9583087840897369,0.059095622876844,0.963357582513276,-0.7491106084708896,-1.0792875417396923
13,2019-04-02,-1.2704119948167192,-1.3709999210671535,-1.0120116907763708,2.0507619527412397,1.0307741672174566,-0.0375575881910077,1.050463419861973,-0.6589380020977463,0.06646272858293269
14,2019-04-03,-1.2583415346499882,-1.356277529591964,-0.8761825000148952,2.032775659591062,1.1522076767883374,-0.1466005958100924,1.2447910558546742,-0.3598017035410722,1.2122129989055577
15,2019-04-04,-1.2465454031234109,-1.3422166728879072,-0.9888407136026326,2.0221204993565407,1.1898950188415656,-0.1445282655692161,0.9838495777341932,-0.5967032253238256,0.06646272858293269
16,2019-04-05,-1.235048539204272,-1.3283892990442492,-0.9231267685329556,2.0043314995661707,1.2248904078909917,-0.1545888826610101,1.1077130530048909,-0.3432261657550083,0.06646272858293269
17,2019-04-08,-1.2222049710516565,-1.3153402014019229,-0.8515356082800671,1.997560180223772,1.2139957615617785,-0.1636490880220182,1.208117919650031,-0.1344803519924542,0.06646272858293269
18,2019-04-09,-1.2097354874083397,-1.3016555115285084,-0.9831642698096156,1.9726331640675356,1.2038793042560798,-0.0904479381208685,0.8804149722934527,-0.3954126191956416,0.06646272858293269
19,2019-04-10,-1.1951212525783728,-1.2864402117924758,-0.898767812352846,1.959221296511517,1.2153409676060625,-0.0795157862298539,1.0835262721871404,-0.0383338811215269,-1.0792875417396923
20,2019-04-11,-1.1791353745476398,-1.273819166060883,-0.9741530621940968,1.9436474901916725,1.2399613232661364,-0.0310634244653341,0.9961362225835636,-0.1252231747402838,0.06646272858293269
21,2019-04-12,-1.1618776091852898,-1.260458757938023,-0.8903677332616269,1.9306064851812847,1.2846674038798909,-0.0371530778987795,1.1972299422821586,0.1702992102236669,0.06646272858293269
22,2019-04-15,-1.148260933046788,-1.2476172006160524,-0.9874304170080942,1.9171505895806655,1.3426575939625134,-0.0090560440653096,1.1656523098570195,0.1165649660303888,0.06646272858293269
23,2019-04-16,-1.134694134842859,-1.2356187758455237,-0.8933195623838064,1.8991236099999944,1.4179581105515182,-0.0135016168903534,1.3200107557389855,0.0874217105366514,-1.0792875417396923
24,2019-04-17,-1.1212270925080772,-1.2237889775852833,-0.7733669814098734,1.8774046721161288,1.5241387976588916,-0.0418910210028181,1.4763938139475716,-0.069439475796139,1.7850881340668703
25,2019-04-18,-1.1075854774022886,-1.2119721505950658,-0.6608184575572666,1.8617968686169384,1.6335508150371592,-0.0580340751178207,1.5537774197729717,-0.4219902238131042,-1.3657251093203486
26,2019-04-22,-1.095614773104705,-1.1987673977124735,-0.581642056245559,1.8515032275570784,1.7499254708908036,-0.0603610066981441,1.6167633369863612,-0.7319720083575887,-0.8501374876751674
27,2019-04-23,-1.082347242508216,-1.1849919089489034,-0.4181573410142402,1.836734197830138,1.919633686114896,-0.1370491383718441,1.8899729750943348,-0.305639493931687,0.352900296163589
28,2019-04-24,-1.06935404055188,-1.1711385925652011,-0.3110306240695255,1.8153660824600195,2.0936955644749027,-0.1547182207417481,1.8991979410205788,-0.3111308650917526,1.8996631610991328
